,Satellite Name,Epoch,First Derivative Mean Motion,Second Derivative Mean Motion,BSTAR Drag Term,Element Set Number,Inclination (degrees),Right Ascension of the Ascending Node (degrees),Eccentricity,Argument of Perigee (degrees),Mean Anomaly (degrees),Mean Motion (revolutions per day),Revolution Number at Epoch,Epoch Date,Epoch Time
8,40055U 14034C,2021-12-29 23:33:07.342272,5.12e-06,0.0,0.0,999,98.3312,150.6841,0.0014352,172.621,187.5212,14.75161919,40376,2021-12-29,23:33:07.342272
5,40055U 14034C,2021-12-30 09:19:10.372800,5.24e-06,0.0,0.0,999,98.3312,151.103,0.0014378,171.3289,188.817,14.75162488,40382,2021-12-30,09:19:10.372800
9,40055U 14034C,2021-12-30 23:58:14.905632,4.31e-06,0.0,0.0,999,98.3313,151.7314,0.0014425,169.3974,190.754,14.75162712,40391,2021-12-30,23:58:14.905632
6,40055U 14034C,2021-12-31 09:44:17.924064,4.02e-06,0.0,0.0,999,98.3314,152.1503,0.001445,168.1318,192.0233,14.75162978,40397,2021-12-31,09:44:17.924064
0,40055U 14034C,2021-12-31 21:08:01.413888,3.72e-06,0.0,0.0,999,98.3314,152.6391,0.0014482,166.6417,193.5177,14.75163372,40401,2021-12-31,21:08:01.413888
1,40055U 14034C,2021-12-31 22:45:41.913792,3.69e-06,0.0,0.0,999,98.3314,152.7089,0.0014486,166.4349,193.7251,14.75163422,40402,2021-12-31,22:45:41.913792
7,40055U 14034C,2021-12-31 22:45:41.913792,3.69e-06,0.0,0.0,999,98.3314,152.7089,0.0014486,166.4349,193.7251,14.75163422,40405,2021-12-31,22:45:41.913792
2,40055U 14034C,2022-01-01 21:33:08.861472,3.88e-06,0.0,0.0,999,98.3315,153.6865,0.0014548,163.5086,196.6598,14.7516452,40416,2022-01-01,21:33:08.861472
10,40055U 14034C,2022-01-01 23:10:49.356192,3.84e-06,0.0,0.0,999,98.3314,153.7563,0.0014552,163.3005,196.8685,14.75164563,40420,2022-01-01,23:10:49.356192
3,40055U 14034C,2022-01-02 05:41:31.338528,3.58e-06,0.0,0.0,999,98.3314,154.0356,0.001457,162.4693,197.7021,14.75164664,40421,2022-01-02,05:41:31.338528
12,40055U 14034C,2022-01-02 05:41:31.338528,3.58e-06,0.0,0.0,999,98.3314,154.0356,0.001457,162.4693,197.7021,14.75164664,40424,2022-01-02,05:41:31.338528
4,40055U 14034C,2022-01-02 23:35:56.764032,3.14e-06,0.0,0.0,999,98.3315,154.8037,0.0014619,160.1533,200.0247,14.75165169,40432,2022-01-02,23:35:56.764032
11,40055U 14034C,2022-01-02 23:35:56.764032,3.14e-06,0.0,0.0,999,98.3315,154.8037,0.0014619,160.1533,200.0247,14.75165169,40435,2022-01-02,23:35:56.764032
14,40055U 14034C,2022-01-04 09:47:07.058976,2.72e-06,0.0,0.0,999,98.3316,156.2701,0.0014714,155.752,204.4383,14.75166137,40453,2022-01-04,09:47:07.058976
13,40055U 14034C,2022-01-04 09:47:07.058976,2.72e-06,0.0,0.0,999,98.3316,156.2701,0.0014714,155.752,204.4383,14.75166137,40456,2022-01-04,09:47:07.058976
15,40055U 14034C,2022-01-04 21:10:50.477088,2.43e-06,0.0,0.0,999,98.3316,156.7589,0.0014734,154.2784,205.916,14.75166321,40460,2022-01-04,21:10:50.477088
16,40055U 14034C,2022-01-05 00:26:11.451840,2.42e-06,0.0,0.0,999,98.3316,156.8986,0.0014742,153.8705,206.325,14.75166395,40465,2022-01-05,00:26:11.451840
17,40055U 14034C,2022-01-05 05:19:12.912672,2.54e-06,0.0,0.0,999,98.3316,157.1081,0.0014748,153.2553,206.9418,14.7516658,40468,2022-01-05,05:19:12.912672
18,40055U 14034C,2022-01-05 05:19:12.912672,2.54e-06,0.0,0.0,999,98.3316,157.1081,0.0014748,153.2553,206.9418,14.7516658,40465,2022-01-05,05:19:12.912672
19,40055U 14034C,2022-01-05 21:35:57.764832,2.35e-06,0.0,0.0,999,98.3317,157.8063,0.0014789,151.2101,208.9927,14.75166962,40475,2022-01-05,21:35:57.764832
20,40055U 14034C,2022-01-05 23:13:38.248320,2.34e-06,0.0,0.0,999,98.3317,157.8762,0.0014793,151.0029,209.2004,14.75167003,40479,2022-01-05,23:13:38.248320
21,40055U 14034C,2022-01-06 08:59:41.158752,2.23e-06,0.0,0.0,999,98.3316,158.2951,0.0014818,149.7682,210.4384,14.75167188,40485,2022-01-06,08:59:41.158752
22,40055U 14034C,2022-01-06 08:59:41.158752,2.23e-06,0.0,0.0,999,98.3316,158.2951,0.0014818,149.7682,210.4384,14.75167188,40482,2022-01-06,08:59:41.158752
23,40055U 14034C,2022-01-06 23:38:45.505824,1.91e-06,0.0,0.0,999,98.3317,158.9236,0.0014856,147.9056,212.306,14.75167426,40494,2022-01-06,23:38:45.505824
24,40055U 14034C,2022-01-07 09:24:48.399840,2.07e-06,0.0,0.0,999,98.3317,159.3426,0.0014882,146.6654,213.5494,14.7516775,40500,2022-01-07,09:24:48.399840
25,40055U 14034C,2022-01-07 09:24:48.399840,2.07e-06,0.0,0.0,999,98.3317,159.3426,0.0014882,146.6654,213.5494,14.7516775,40497,2022-01-07,09:24:48.399840
26,40055U 14034C,2022-01-07 15:55:30.325152,2.03e-06,0.0,0.0,999,98.3317,159.6219,0.0014901,145.8319,214.3851,14.75167878,40504,2022-01-07,15:55:30.325152
27,40055U 14034C,2022-01-07 20:48:31.766112,1.76e-06,0.0,0.0,999,98.3317,159.8314,0.0014915,145.2154,215.0032,14.75167879,40504,2022-01-07,20:48:31.766112
28,40055U 14034C,2022-01-08 04:56:54.173184,2.22e-06,0.0,0.0,999,98.3317,160.1805,0.001493,144.1911,216.0301,14.75168252,40512,2022-01-08,04:56:54.173184
29,40055U 14034C,2022-01-08 09:49:55.610688,2.24e-06,0.0,0.0,999,98.3317,160.39,0.0014939,143.5862,216.6365,14.75168389,40515,2022-01-08,09:49:55.610688
30,40055U 14034C,2022-01-08 09:49:55.610688,2.24e-06,0.0,0.0,999,98.3317,160.39,0.0014939,143.5862,216.6365,14.75168389,40512,2022-01-08,09:49:55.610688
